R0000100,T0897400,T0897500,T2053900,T2054000,T3024800,T3024900,T3955100,T3955200,T4892800,T4892900
3198,-4,3,5,2,5,2,5,3,5,3
3199,5,1,5,1,5,1,5,1,5,0
3200,5,5,5,5,5,5,5,5,5,5
3201,5,4,5,4,5,4,5,4,5,4
3202,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3203,5,7,5,10,5,9,5,10,5,10
3204,5,5,5,5,5,5,-5,-5,-5,-5
3205,5,9,5,-4,5,10,5,10,5,10
3206,5,8,5,7,5,-4,5,7,5,7
3207,5,10,5,9,5,9,5,9,5,9
3208,5,10,5,10,5,9,5,10,5,10
3209,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3210,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3211,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3212,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3213,5,10,5,10,-5,-5,-5,-5,-5,-5
3214,5,10,5,10,5,10,5,10,5,10
3215,5,8,5,8,5,8,5,8,-5,-5
3216,6,0,6,0,6,0,5,11,5,11
3217,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3218,5,5,5,5,5,5,5,5,5,4
3219,6,0,6,0,6,0,6,0,6,0
3220,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3221,5,5,-5,-5,5,6,5,5,5,5
3222,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3223,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3224,6,0,6,0,6,0,6,0,6,0
3225,5,6,5,6,5,6,5,6,5,6
3226,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3227,5,5,5,5,5,5,5,5,5,5
3228,5,7,5,7,5,7,5,7,5,7
3229,5,8,5,8,5,8,5,8,5,8
3230,5,9,5,9,5,9,5,9,-5,-5
3231,5,8,5,8,5,8,5,8,5,8
3232,5,7,5,7,5,7,5,7,5,7
3233,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3234,5,3,5,3,5,3,5,3,5,3
3235,5,5,5,6,5,6,5,4,5,6
3236,5,3,5,2,5,3,5,2,5,2
3237,5,0,5,0,5,0,5,0,5,0
3238,5,7,5,6,5,6,5,6,5,7
3239,6,2,6,1,-5,-5,-5,-5,6,1
3240,5,11,5,11,5,11,5,11,5,10
3241,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3242,5,4,5,4,5,4,5,4,5,4
3243,5,3,5,4,5,3,5,3,5,3
3244,5,2,5,2,5,2,5,2,5,2
3245,5,7,5,7,5,7,5,7,5,7
3246,5,10,5,10,5,10,5,10,5,10
3247,6,0,6,0,6,0,6,0,6,0
3248,5,6,5,6,5,6,5,6,5,6
3249,5,2,5,2,5,2,5,2,5,2
3250,5,2,5,3,5,3,5,2,5,2
3251,5,7,5,7,5,7,5,7,5,7
3252,5,7,5,7,5,7,5,7,5,7
3253,5,3,5,3,5,3,5,3,5,3
3254,5,7,5,6,5,7,5,7,6,7
3255,6,0,6,0,6,0,6,0,5,11
3256,6,0,6,0,6,0,6,0,6,0
3257,5,9,5,9,5,9,5,10,5,9
3258,5,11,5,10,5,10,5,10,5,10
3259,5,3,5,4,6,2,6,3,5,3
3260,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3261,5,1,5,1,5,1,5,1,5,1
3262,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3263,5,9,5,9,5,8,5,8,5,7
3264,5,10,5,9,5,9,5,9,5,10
3265,5,9,-5,-5,-5,-5,5,10,5,9
3266,5,3,5,3,5,3,5,3,5,3
3267,5,7,5,7,5,7,5,7,-5,-5
3268,-5,-5,5,4,5,3,5,3,5,3
3269,5,4,5,4,5,3,5,4,5,4
3270,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3271,5,5,-5,-5,5,5,5,5,5,4
3272,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3273,5,2,5,2,5,2,5,3,5,2
3274,-5,-5,-5,-5,-5,-5,5,9,-5,-5
3275,5,11,5,10,5,11,5,11,5,11
3276,5,5,5,5,5,5,5,5,5,5
3277,5,9,5,10,5,10,-5,-5,-5,-5
3278,5,4,5,4,5,4,5,4,5,4
3279,5,10,5,10,5,10,5,10,5,10
3280,5,0,5,0,5,0,5,0,5,0
3281,5,5,5,5,5,6,5,5,5,5
3282,5,11,-5,-5,5,11,5,11,5,10
3283,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3284,6,2,6,2,6,0,6,2,-5,-5
3285,5,0,4,11,5,0,4,11,5,0
3286,5,6,-5,-5,-5,-5,-5,-5,-5,-5
